Quartiere;Ind. socioeconomico;Var.
AURORA;38.52;↓
BARRIERA DI MILANO;48.98;↑
BORGATA VITTORIA;24.62;↑
BORGO PO E CAVORETTO;30.35;↓
CENISIA;41.99;↑
CENTRO;86.95;↓
CROCETTA;48.12;↓
FALCHERA;11.52;↑
LE VALLETTE;10.06;↑
MADONNA DEL PILONE;26.38;↓
MADONNA DI CAMPAGNA;23.45;↑
MERCATI GENERALI;27.65;↑
MIRAFIORI NORD;20.34;↑
MIRAFIORI SUD;13.85;↑
NIZZA MILLEFONTI;20.05;↑
PARELLA;25.71;↑
POZZO STRADA;31.71;↑
REGIO PARCO;15.18;↑
SAN DONATO;45.06;↓
SAN PAOLO;33.23;↑
SAN SALVARIO;49.06;↑
SANTA RITA;36.12;↑
VANCHIGLIA;20.41;↑
